1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
0.0	-4.5	-14.099999999999998	2.0	-3.5000000000000004	-8.7	0.5	8.6	23.200000000000003	13.8	7.199999999999999	1.7000000000000002	12.4	16.6	-11.4	-2.1999999999999997	5.5	-4.3	6.800000000000001	3.4000000000000004	-12.5	5.2	5.7	14.299999999999999	-1.0999999999999999	-40.400000000000006	-28.199999999999996	94.8
0.0	6.5	-6.5	2.1	40.0	1.9	4.5	0.7000000000000001	18.099999999999998	12.4	6.9	4.7	6.800000000000001	9.1	-4.7	-0.6	11.899999999999999	-2.0	7.1	4.0	-43.5	-2.8000000000000003	9.8	5.800000000000001	-0.6	-27.500000000000004	-1.7999999999999998	10.299999999999999
0.0	-18.0	-4.9	161.8	-3.5000000000000004	15.2	-7.3999999999999995	10.299999999999999	47.9	35.8	9.5	8.3	42.199999999999996	16.0	-12.3	-11.5	12.6	-8.0	10.6	2.6	-20.1	15.9	12.7	9.0	-4.1000000000000005	-60.199999999999996	45.300000000000004	35.9
0.0	-6.5	-1.3	3.5999999999999996	11.200000000000001	1.6	2.7	-1.7000000000000002	7.000000000000001	6.9	3.4000000000000004	2.8000000000000003	12.7	3.5000000000000004	-20.9	-2.8000000000000003	21.8	0.0	12.6	-0.2	-13.700000000000001	13.700000000000001	14.099999999999998	5.3	-5.7	-77.4	184.7	35.6
0.0	41.6	-11.3	7.6	-19.0	-5.7	4.3999999999999995	-4.5	20.3	17.4	15.0	22.3	18.0	18.3	-11.799999999999999	-1.0	12.9	-7.9	-5.6000000000000005	-3.1	-11.200000000000001	4.2	10.5	6.800000000000001	-1.9	-50.8	-14.2	63.0
0.0	-7.3	-7.7	2.5	14.299999999999999	-0.7000000000000001	9.0	19.7	10.0	7.199999999999999	-6.4	5.1	7.5	5.1	-10.6	1.5	11.600000000000001	-3.5999999999999996	5.800000000000001	17.4	-12.2	12.1	13.5	7.000000000000001	-5.0	-54.2	12.8	99.2
0.0	35.6	-2.3	14.000000000000002	1.9	-7.5	-0.2	9.5	20.9	32.2	9.5	5.5	1.2	15.2	-8.6	-2.3	17.9	2.4	26.400000000000002	14.6	-19.900000000000002	2.9000000000000004	7.9	7.199999999999999	-2.4	-65.7	6.4	100.49999999999999
0.0	-0.2	0.2	-0.5	-6.7	-7.6	2.3	9.8	18.5	10.5	5.4	9.2	19.2	14.000000000000002	-15.1	10.2	27.1	0.8	4.2	-9.5	-29.599999999999998	2.9000000000000004	28.4	7.8	1.6	-66.60000000000001	-13.3	106.69999999999999
0.0	2.8000000000000003	-3.4000000000000004	7.6	28.000000000000004	-13.0	-2.0	8.799999999999999	12.5	13.900000000000002	-2.1999999999999997	5.8999999999999995	16.5	5.6000000000000005	-13.4	-6.4	18.7	-3.3000000000000003	5.8999999999999995	3.5000000000000004	-0.2	-5.1	7.000000000000001	10.299999999999999	-3.0	-48.5	24.3	45.800000000000004
0.0	-2.3	0.5	3.6999999999999997	-0.7000000000000001	2.1	-3.1	7.000000000000001	19.900000000000002	19.400000000000002	5.3	13.0	9.700000000000001	10.6	-12.9	-0.6	12.6	-2.1999999999999997	8.5	4.8	-14.7	1.6	6.800000000000001	7.199999999999999	-2.6	-47.199999999999996	0.3	41.199999999999996
0.0	-10.0	1.3	64.0	42.0	5.0	-0.7000000000000001	8.3	8.7	18.0	4.8	8.0	7.9	12.2	-15.8	-15.1	18.7	-10.8	21.8	10.8	-12.1	-6.0	14.6	11.5	7.7	-75.3	146.3	46.9
0.0	21.7	6.6000000000000005	-4.0	-2.1999999999999997	4.7	11.3	-10.299999999999999	8.9	-3.5999999999999996	5.3	3.3000000000000003	11.4	36.0	-7.199999999999999	-6.5	6.1	-14.7	6.0	9.4	-9.3	6.7	9.9	10.5	5.7	-55.7	28.7	34.1
0.0	11.700000000000001	4.3999999999999995	27.900000000000002	-20.5	-0.2	6.7	11.0	24.7	13.3	9.3	12.4	13.0	4.7	-21.9	-17.7	3.2	-8.3	15.6	8.799999999999999	-1.7000000000000002	8.7	8.9	19.8	-5.4	-63.0	12.2	161.0
0.0	4.5	-1.0	0.3	-4.9	-3.0	-6.1	4.1000000000000005	16.3	13.200000000000001	-0.2	8.4	11.4	8.4	-12.6	-4.9	12.6	-5.4	7.000000000000001	4.0	-13.5	2.4	10.4	10.100000000000001	0.8999999999999999	-59.8	25.5	75.0
